SAMPLE_NAME,L,a,b
A1,85.57016707106554,0.75136874709264,-0.7961436667475397
A2,91.71638742445649,2.3826070046099046,1.9579982863640044
A3,89.95413949599194,2.179885699591544,-5.189392053755881
A4,92.37253376875795,-3.2942733153582537,0.69910930181043
A5,91.18465319175012,2.8959991418816555,2.085710079482195
A6,90.7372410128635,0.11508599508369688,-1.6684679548220283
A7,94.0298283827506,-0.8867003063385281,2.966085781340455
A8,91.69974596116707,3.86357928838299,-2.44526587432643
A9,92.44284964216607,-1.3294826949194483,-3.780790904285669
B1,78.55098037206841,0.7979502919028825,0.04622973372938599
B2,88.49948442200332,4.740790337171285,5.098728167821132
B3,84.94855786987448,3.734888257905744,-8.757161045508944
B4,89.15027833283548,-5.889128041560554,1.9753853889783013
B5,87.5828113629014,5.138769375551799,5.379523498526506
B6,86.63133695064707,0.250069800108943,-1.6794768245603109
B7,92.65091360140183,-2.0134059060067377,6.857518640654958
B8,88.4903454045964,6.782792420499173,-2.8740757714421195
B9,90.00435213250408,-2.628359039557826,-6.1940367899179005
C1,66.2788252197104,1.4220637191073027,-0.10391615869489446
C2,84.17270451543604,7.748859823720533,11.633252165792673
C3,76.67013321949963,6.480325735764625,-14.662804345390157
C4,84.485249380635,-11.873364693524069,5.593224055594881
C5,82.17215690616368,10.61870824425376,11.102251728506985
C6,80.65180315764289,-0.6525799658974041,-1.8023913438506733
C7,91.41156450679864,-3.4560723616056666,14.837523577972455
C8,83.89383765124906,13.62056691533564,-4.372521607959756
C9,85.7862652437074,-5.341394616209638,-10.5294027078499
D1,55.27182859893908,1.1773598289482323,1.0623237684422193
D2,80.31175130739749,12.662569990418149,16.60005261311257
D3,69.73869568791781,9.465351080487183,-20.14010430639164
D4,80.41963581355968,-17.439789727431375,8.110735184676043
D5,78.10302110601975,15.382924293033284,15.38869209204352
D6,73.77332206785901,-0.4627638121929567,-2.0499062192822715
D7,90.87568111904561,-5.012073784462389,22.825515314016975
D8,79.0374980625252,19.430378597887376,-5.265977164252167
D9,82.63204592297966,-8.818743995318846,-15.02726580666074
E1,44.20213636597665,1.402865865540781,1.4888445572883935
E2,76.5811473001278,16.68444002739872,21.858209360368686
E3,62.41819746867829,11.904026089919029,-25.374817581202592
E4,76.26111073584536,-23.47225873759873,11.224035532650278
E5,72.61430145297979,21.720419967346693,20.739973052975525
E6,67.39246472064181,-0.5598558775846141,-2.4181109075938734
E7,90.35414741487614,-6.305235114430485,29.670812482531783
E8,74.58111323806095,26.501276720038657,-6.605913049956436
E9,78.77556940441488,-11.406784229304357,-18.70141129339946
F1,36.18044763463408,1.7288389267463011,1.8458483551216265
F2,71.11753550250818,23.612126545400457,28.15515474600696
F3,53.205221376844335,16.067846305268528,-32.91124554085274
F4,72.71154033968223,-30.22306953207421,14.822755596685866
F5,68.25121995279568,27.87263530675721,25.707160205795397
F6,60.994147972000064,-0.5699130098671956,-2.5161973397685333
F7,89.31022688172918,-7.280205127289163,38.936357708551924
F8,70.10850101115815,33.02998117114358,-7.453523491653202
F9,74.8192007436795,-13.848300518240874,-22.52394303493437
G1,26.53368983071266,1.2196748044484562,2.2373003602849884
G2,68.08607233268772,27.59622431808495,31.711691530942176
G3,49.7231389057996,17.03362304528716,-33.50985844013512
G4,69.29989549427259,-36.97158142222573,18.19326100120515
G5,63.80086145864567,33.87474195209017,29.938548432962197
G6,54.25160880172683,-1.53026002117862,-1.763541747678543
G7,89.30798541167374,-8.498334747887416,47.30380747003038
G8,66.22556960794445,39.63804541366811,-8.635682192642747
G9,71.56542275266322,-16.14347563583385,-25.012778221235443
H1,19.79291042772318,2.6862386293416973,2.983494752963256
H2,63.6672283686227,33.91453194010913,38.14977144301561
H3,38.70498141603522,21.683276968224835,-42.836167660914214
H4,65.74377087012853,-42.03270189113295,19.585463650951816
H5,59.28894567515326,41.537416646258094,35.093799153414295
H6,47.097672097606974,-0.8143482378398792,-1.8522915298044618
H7,88.92897014607871,-9.505618344616884,58.20080279918116
H8,60.958437476533106,47.13969705959242,-9.235832644901976
H9,67.31850895763647,-19.768927917202028,-28.652022861212867
I1,13.612341809375131,0.5133954403875041,0.4063937635973125
I2,59.57653079290725,40.56756732288136,45.04425349553208
I3,36.08363444971984,21.537671626668363,-41.6574053858371
I4,62.59146845904931,-47.824179443350545,22.376533593641625
I5,53.562516246604005,50.49623434564199,43.25490932768936
I6,40.12516280756428,-0.5917160486307027,-2.0512143828762985
I7,88.5884721885424,-9.868913455463312,70.55881089132153
I8,56.76135998158662,54.33650983266225,-9.923250220836222
I9,63.17464732560171,-22.651814531918944,-31.523785006312277
J1,10.86106801703589,0.20480919832699396,-1.1914127133273555
J2,54.890899997188725,47.662481201533936,48.423600152754695
J3,27.663990996929073,26.466482589764002,-47.47926642342814
J4,55.99474898861315,-58.59211337623271,29.17999611262828
J5,48.97460772649906,56.766394580569866,41.2192169075661
J6,30.678083870165167,-0.5024608062713376,-2.2280959912281406
J7,88.72764778620424,-10.90889760710223,80.92564996968036
J8,53.004644952470755,57.38566792365668,-9.391890519575231
J9,59.96213862792416,-23.571408235484704,-33.084227681596154
K1,11.371889770899188,0.2445021205020187,-1.2309536395756937
K2,51.475363737163434,53.52604234713043,45.59645444758108
K3,24.519965737438895,26.507851038664263,-48.28476281761402
K4,51.46851536465235,-64.45648624933398,30.03074911303225
K5,44.35988755263691,62.98354372682608,40.85680683373555
K6,18.1562817754417,-0.31883558091194697,0.8811218838737589
K7,87.9255684872586,-10.689660862503558,85.3352429491652
K8,46.17520403090198,59.96689899829405,-8.780389817841282
K9,57.39402797201129,-20.371542968893984,-29.539178314826977
